value,label,county_value,county_label,label_ch,county_label_ch
180,民雄鄉,13,嘉義縣,Minxiong Township,Chiayi County
175,太保市,13,嘉義縣,Taibao City,Chiayi County
176,朴子市,13,嘉義縣,Puzi City,Chiayi County
181,大林鎮,13,嘉義縣,dalin town,Chiayi County
173,水上鄉,13,嘉義縣,Water Township,Chiayi County
168,梅山鄉,13,嘉義縣,Meishan Township,Chiayi County
167,番路鄉,13,嘉義縣,Fanlu Township,Chiayi County
171,中埔鄉,13,嘉義縣,Zhongpu Township,Chiayi County
179,新港鄉,13,嘉義縣,Xingang Township,Chiayi County
177,東石鄉,13,嘉義縣,Dongshi Township,Chiayi County
169,竹崎鄉,13,嘉義縣,Takezaki,Chiayi County
170,阿里山鄉,13,嘉義縣,Alishan Township,Chiayi County
172,大埔鄉,13,嘉義縣,Tai Po Township,Chiayi County
174,鹿草鄉,13,嘉義縣,Lucao Township,Chiayi County
178,六腳鄉,13,嘉義縣,Liujiao Township,Chiayi County
182,溪口鄉,13,嘉義縣,Xikou Township,Chiayi County
183,義竹鄉,13,嘉義縣,Yizhu Township,Chiayi County
184,布袋鎮,13,嘉義縣,Budai Town,Chiayi County
212,永康區,15,台南市,Yongkang District,Tainan City
206,東區,15,台南市,Eastern District,Tainan City
209,北區,15,台南市,North District,Tainan City
208,中西區,15,台南市,Central and Western District,Tainan City
210,安平區,15,台南市,Anping District,Tainan City
219,仁德區,15,台南市,Rende District,Tainan City
207,南區,15,台南市,South area,Tainan City
211,安南區,15,台南市,Annan District,Tainan City
230,新營區,15,台南市,Xinying District,Tainan City
241,新市區,15,台南市,new urban area,Tainan City
238,善化區,15,台南市,Shanhua District,Tainan City
213,歸仁區,15,台南市,Qui Nhon District,Tainan City
223,麻豆區,15,台南市,Madou District,Tainan City
224,佳里區,15,台南市,Jiali District,Tainan City
214,新化區,15,台南市,Xinhua District,Tainan City
242,安定區,15,台南市,stable area,Tainan City
236,柳營區,15,台南市,Liuying District,Tainan City
216,玉井區,15,台南市,Yujing District,Tainan City
237,鹽水區,15,台南市,salt water area,Tainan City
234,六甲區,15,台南市,Liujia District,Tainan City
225,西港區,15,台南市,Westport District,Tainan City
232,白河區,15,台南市,Baihe District,Tainan City
222,官田區,15,台南市,Guantian District,Tainan City
231,後壁區,15,台南市,posterior wall area,Tainan City
215,左鎮區,15,台南市,Zuozhen District,Tainan City
217,楠西區,15,台南市,Nanxi District,Tainan City
218,南化區,15,台南市,Nanhua District,Tainan City
220,關廟區,15,台南市,Guanmiao District,Tainan City
221,龍崎區,15,台南市,Ryugasaki Ward,Tainan City
226,七股區,15,台南市,Qigu District,Tainan City
227,將軍區,15,台南市,general area,Tainan City
228,學甲區,15,台南市,School A District,Tainan City
229,北門區,15,台南市,Beimen District,Tainan City
233,東山區,15,台南市,Dongshan District,Tainan City
235,下營區,15,台南市,Xiaying District,Tainan City
239,大內區,15,台南市,Big Inner District,Tainan City
240,山上區,15,台南市,Yamagami District,Tainan City
250,三民區,17,高雄市,Sanmin District,kaohsiung city
245,苓雅區,17,高雄市,Lingya District,kaohsiung city
253,左營區,17,高雄市,Zuoying District,kaohsiung city
251,楠梓區,17,高雄市,Nanzi District,kaohsiung city
247,鼓山區,17,高雄市,Gushan District,kaohsiung city
249,前鎮區,17,高雄市,former township,kaohsiung city
268,鳳山區,17,高雄市,Fengshan District,kaohsiung city
243,新興區,17,高雄市,Xinxing District,kaohsiung city
252,小港區,17,高雄市,Xiaogang District,kaohsiung city
244,前金區,17,高雄市,Qianjin District,kaohsiung city
255,大社區,17,高雄市,big community,kaohsiung city
269,大寮區,17,高雄市,Daliao District,kaohsiung city
246,鹽埕區,17,高雄市,Yancheng District,kaohsiung city
263,橋頭區,17,高雄市,Qiaotou District,kaohsiung city
254,仁武區,17,高雄市,Renwu District,kaohsiung city
271,鳥松區,17,高雄市,Niaosong District,kaohsiung city
258,岡山區,17,高雄市,Gangshan District,kaohsiung city
262,燕巢區,17,高雄市,Yanchao District,kaohsiung city
267,湖內區,17,高雄市,Lake District,kaohsiung city
259,路竹區,17,高雄市,Luzhu District,kaohsiung city
270,林園區,17,高雄市,Forest Park,kaohsiung city
264,梓官區,17,高雄市,Ziguan District,kaohsiung city
272,大樹區,17,高雄市,Dashu District,kaohsiung city
273,旗山區,17,高雄市,Qishan District,kaohsiung city
282,茄萣區,17,高雄市,eggplant area,kaohsiung city
266,永安區,17,高雄市,Yong'an District,kaohsiung city
274,美濃區,17,高雄市,Mino District,kaohsiung city
248,旗津區,17,高雄市,Cijin District,kaohsiung city
277,杉林區,17,高雄市,Shanlin District,kaohsiung city
260,阿蓮區,17,高雄市,Alian District,kaohsiung city
261,田寮區,17,高雄市,Tianliao District,kaohsiung city
265,彌陀區,17,高雄市,Amitabha District,kaohsiung city
275,六龜區,17,高雄市,Liugui District,kaohsiung city
276,內門區,17,高雄市,inner door area,kaohsiung city
278,甲仙區,17,高雄市,Jiaxian District,kaohsiung city
279,桃源區,17,高雄市,Taoyuan District,kaohsiung city
280,那瑪夏區,17,高雄市,Namasya District,kaohsiung city
281,茂林區,17,高雄市,Maolin District,kaohsiung city
295,屏東市,19,屏東縣,Pingtung City,Pingtung County
306,內埔鄉,19,屏東縣,Neipu Township,Pingtung County
326,恆春鎮,19,屏東縣,Hengchun Town,Pingtung County
316,東港鎮,19,屏東縣,Donggang Town,Pingtung County
308,潮州鎮,19,屏東縣,Chaozhou Town,Pingtung County
302,鹽埔鄉,19,屏東縣,Yanpu Township,Pingtung County
303,長治鄉,19,屏東縣,Changzhi Township,Pingtung County
324,車城鄉,19,屏東縣,Che Chengxiang,Pingtung County
314,南州鄉,19,屏東縣,Nanzhou Township,Pingtung County
307,萬丹鄉,19,屏東縣,Wandan Township,Pingtung County
320,枋寮鄉,19,屏東縣,Fangliao Township,Pingtung County
300,里港鄉,19,屏東縣,Ligang Township,Pingtung County
299,九如鄉,19,屏東縣,Jiuru Township,Pingtung County
319,新園鄉,19,屏東縣,Xinyuan Xiang,Pingtung County
311,萬巒鄉,19,屏東縣,Wanluan Township,Pingtung County
315,林邊鄉,19,屏東縣,Linbian Township,Pingtung County
312,崁頂鄉,19,屏東縣,Kanding Township,Pingtung County
304,麟洛鄉,19,屏東縣,Linluo Township,Pingtung County
305,竹田鄉,19,屏東縣,Zhutian Township,Pingtung County
296,三地門鄉,19,屏東縣,Sandimen Xiang,Pingtung County
297,霧臺鄉,19,屏東縣,Wutai Township,Pingtung County
298,瑪家鄉,19,屏東縣,Ma's hometown,Pingtung County
301,高樹鄉,19,屏東縣,Gao Shu Xiang,Pingtung County
309,泰武鄉,19,屏東縣,Taiwu Township,Pingtung County
310,來義鄉,19,屏東縣,Laiyi Township,Pingtung County
313,新埤鄉,19,屏東縣,Xinpi Township,Pingtung County
317,琉球鄉,19,屏東縣,Ryukyu Township,Pingtung County
318,佳冬鄉,19,屏東縣,Jiadong Township,Pingtung County
321,枋山鄉,19,屏東縣,Fangshan Township,Pingtung County
322,春日鄉,19,屏東縣,Kasuga Township,Pingtung County
323,獅子鄉,19,屏東縣,Lion Township,Pingtung County
325,牡丹鄉,19,屏東縣,Peony Township,Pingtung County
327,滿州鄉,19,屏東縣,Manzhou Township,Pingtung County
328,宜蘭市,21,宜蘭縣,Yilan City,Yilan County
330,礁溪鄉,21,宜蘭縣,Jiaoxi Township,Yilan County
333,羅東鎮,21,宜蘭縣,Luodong Town,Yilan County
329,頭城鎮,21,宜蘭縣,touch town,Yilan County
336,五結鄉,21,宜蘭縣,Wujie Township,Yilan County
338,蘇澳鎮,21,宜蘭縣,Suao Town,Yilan County
337,冬山鄉,21,宜蘭縣,Dongshan Township,Yilan County
332,員山鄉,21,宜蘭縣,Yuanshan Township,Yilan County
331,壯圍鄉,21,宜蘭縣,Zhuangwei Township,Yilan County
334,三星鄉,21,宜蘭縣,Samsung Township,Yilan County
335,大同鄉,21,宜蘭縣,Datong Township,Yilan County
339,南澳鄉,21,宜蘭縣,Nan'ao Township,Yilan County
357,花蓮市,23,花蓮縣,Hualien City,Hualien County
360,吉安鄉,23,花蓮縣,Ji'an Township,Hualien County
361,壽豐鄉,23,花蓮縣,Shoufeng Township,Hualien County
365,瑞穗鄉,23,花蓮縣,Ruisui Township,Hualien County
358,新城鄉,23,花蓮縣,Xincheng and Rural,Hualien County
363,光復鄉,23,花蓮縣,Guangfu Township,Hualien County
367,玉里鎮,23,花蓮縣,Yuli Town,Hualien County
362,鳳林鎮,23,花蓮縣,Fenglin Town,Hualien County
359,秀林鄉,23,花蓮縣,Xiulin Township,Hualien County
364,豐濱鄉,23,花蓮縣,Fengbin Township,Hualien County
366,萬榮鄉,23,花蓮縣,Wanrong Township,Hualien County
368,卓溪鄉,23,花蓮縣,Zhuoxi Township,Hualien County
369,富里鄉,23,花蓮縣,Fuli Township,Hualien County
341,台東市,22,台東縣,Taitung City,Taitung County
345,卑南鄉,22,台東縣,Beinan Township,Taitung County
349,池上鄉,22,台東縣,Chishang Township,Taitung County
350,東河鄉,22,台東縣,Donghe Township,Taitung County
346,鹿野鄉,22,台東縣,Luye Township,Taitung County
351,成功鎮,22,台東縣,success town,Taitung County
353,太麻里鄉,22,台東縣,Taimali Township,Taitung County
342,綠島鄉,22,台東縣,Green Island Township,Taitung County
343,蘭嶼鄉,22,台東縣,Lanyu Township,Taitung County
344,延平鄉,22,台東縣,Yanping Township,Taitung County
347,關山鎮,22,台東縣,Guanshan Town,Taitung County
348,海端鄉,22,台東縣,Haiduan Township,Taitung County
352,長濱鄉,22,台東縣,Changbin Township,Taitung County
354,金峰鄉,22,台東縣,Jinfeng Township,Taitung County
355,大武鄉,22,台東縣,Dawu Township,Taitung County
356,達仁鄉,22,台東縣,Daren Township,Taitung County
283,馬公市,24,澎湖縣,magong city,Penghu County
284,西嶼鄉,24,澎湖縣,Xiyu Township,Penghu County
285,望安鄉,24,澎湖縣,Wang'an Township,Penghu County
286,七美鄉,24,澎湖縣,Qimei Township,Penghu County
287,白沙鄉,24,澎湖縣,Baisha Township,Penghu County
288,湖西鄉,24,澎湖縣,Huxi Township,Penghu County
291,金寧鄉,25,金門縣,Jinning Township,Kinmen County
292,金城鎮,25,金門縣,Jincheng Town,Kinmen County
290,金湖鎮,25,金門縣,Jinhu Town,Kinmen County
289,金沙鎮,25,金門縣,Jinsha Town,Kinmen County
293,烈嶼鄉,25,金門縣,Lieyu Township,Kinmen County
294,烏坵鄉,25,金門縣,Wuqiu Township,Kinmen County
22,南竿鄉,26,連江縣,Nangan Township,Lianjiang County
23,北竿鄉,26,連江縣,Beigan Township,Lianjiang County
24,莒光鄉,26,連江縣,Juguang Township,Lianjiang County
25,東引鄉,26,連江縣,Dongyin Township,Lianjiang County
256,東沙,26,連江縣,Dongsha,Lianjiang County
257,南沙,26,連江縣,Nansha,Lianjiang County
